t_start_s,t_end_s,duration_s,n_samples,duty_mean,voltage_mean,tilt_deg_mean,t_over_mg_mean,t_over_mg_std,file,date
22.645006,28.925,6.279994000000002,315,0.6186063492063492,3.9285174476798326,1.3480198583787193,0.986018119741984,0.05491249571469407,stampfly_udp_20260622T173150.jsonl,20260622
5.845005,29.210017,23.365012,1169,0.6122706586826347,3.9666226781222886,1.2595162798167616,1.0117096692360765,0.03881570226082184,stampfly_udp_20260622T181806.jsonl,20260622
6.225017,21.665025,15.440007999999999,773,0.6120946313065976,3.9831871355379214,0.7258203205276959,0.9994670209529765,0.04482561892958551,stampfly_udp_20260622T183043.jsonl,20260622
27.475007,29.097506,1.6224989999999977,82,0.6202439024390244,3.9206655191466675,1.1762293693127968,0.9945280351140788,0.0404659796594671,stampfly_udp_20260622T183043.jsonl,20260622
5.625006,23.767504,18.142498,908,0.6302340033039647,3.8987824701273297,1.0079633405838344,1.0054565355854501,0.03692246458055226,stampfly_udp_20260622T191826.jsonl,20260622
24.987509,29.207506,4.219996999999999,212,0.6398008254716981,3.845970946681459,1.091000218725346,1.0043391737873153,0.031099182500802038,stampfly_udp_20260622T191826.jsonl,20260622
12.097508,21.28751,9.190002000000002,458,0.6928340065502184,3.6472016104673357,0.8910950669727105,0.9977444001178666,0.038260273763593804,stampfly_udp_20260624T125432.jsonl,20260624
22.98251,49.207532,26.225022,1308,0.710321750764526,3.591041243346568,0.8256209228157909,0.9985561488285577,0.03641502934876717,stampfly_udp_20260624T125432.jsonl,20260624
13.915017,16.670013,2.7549960000000002,138,0.6407853260869565,3.876439872127872,1.726579080163029,1.0026788607129662,0.05763062796133673,stampfly_udp_20260627T020137.jsonl,20260627
18.215013,23.755015,5.540002000000001,277,0.6464972924187725,3.855890016011622,1.6794687839830809,1.008622906535909,0.0495683055320729,stampfly_udp_20260627T020137.jsonl,20260627
26.560013,32.550015,5.9900020000000005,299,0.6530380434782609,3.8251330381213697,2.243957948745499,0.9988536009030607,0.05979420322224833,stampfly_udp_20260627T020137.jsonl,20260627
35.940009,36.932721,0.9927119999999974,50,0.6524875,3.8079999999999994,2.5386374555125366,0.9885569484630327,0.05086170210413105,stampfly_udp_20260627T020137.jsonl,20260627
39.037513,47.495011,8.457498000000001,422,0.6635361966824644,3.7845802643922037,2.3032065359677554,1.006984678580104,0.04631147858055388,stampfly_udp_20260627T020137.jsonl,20260627
49.340011,51.470011,2.1300000000000026,107,0.664718925233645,3.7607098546085385,2.069433607644693,0.9872314284629577,0.06921695595042898,stampfly_udp_20260627T020137.jsonl,20260627
