file,episode_id,seg_idx,t_start_s,t_end_s,t_mid_s,t_takeoff_s,t_since_takeoff_s,duration_s,n_samples,voltage_mean,duty_m1_mean,duty_m2_mean,duty_m3_mean,duty_m4_mean,duty_mean,Vapp_m1_mean,Vapp_m2_mean,Vapp_m3_mean,Vapp_m4_mean,Vapp_mean,altitude_mean
stampfly_udp_20260627T020137.jsonl,0,21,144.740013,152.962511,148.85126200000002,3.447508,145.40375400000002,8.222498000000002,411,3.5281946472019463,0.7073963503649634,0.723196593673966,0.7468742092457421,0.747680291970803,0.7312868613138686,2.4958887221411192,2.5514902287104624,2.6351690024330896,2.637884690997567,2.58010816107056,0.55162759911985
stampfly_udp_20260627T020137.jsonl,0,22,159.210038,162.327513,160.7687755,3.447508,157.3212675,3.117475000000013,156,3.5119999999999996,0.7150692307692308,0.7190679487179487,0.7474333333333334,0.741098717948718,0.7306673076923078,2.5113231384615387,2.525366635897436,2.624985866666667,2.6027386974358975,2.5661035846153846,0.4540546545997644
stampfly_udp_20260627T020137.jsonl,0,23,164.447507,166.272515,165.360011,3.447508,161.912503,1.8250079999999969,92,3.5040000000000013,0.7753173913043475,0.6428239130434782,0.8128673913043477,0.6630347826086956,0.7235108695652173,2.7167121391304345,2.252454991304348,2.8482873391304353,2.3232738782608693,2.535182086956522,0.5464307970326879
stampfly_udp_20260627T020137.jsonl,0,24,167.957624,169.360011,168.6588175,3.447508,165.2113095,1.402386999999976,71,3.4960000000000004,0.7578957746478874,0.6810056338028169,0.7912521126760563,0.7249309859154931,0.7387711267605633,2.649603628169014,2.380795695774648,2.766217385915493,2.5343587267605634,2.582743859154929,0.4263760204046545
stampfly_udp_20260627T020137.jsonl,0,25,170.985018,172.447505,171.7162615,3.447508,168.2687535,1.46248700000001,74,3.490594594594594,0.7553405405405405,0.7170716216216216,0.787781081081081,0.72505,0.7463108108108109,2.636540767567568,2.5030551675675676,2.749787124324324,2.5308811675675673,2.6050660567567565,0.455192991607898
stampfly_udp_20260627T020137.jsonl,0,26,174.615013,177.202513,175.90876300000002,3.447508,172.46125500000002,2.5875000000000057,130,3.488,0.7370207692307692,0.7306853846153847,0.757236923076923,0.7501915384615385,0.7437836538461539,2.5707284430769235,2.5486306215384618,2.6412423876923077,2.616668086153846,2.5943173846153846,0.578261001751973
stampfly_udp_20260629T145526.jsonl,0,0,7.445153,8.185006,7.8150794999999995,4.465016,3.350063499999999,0.7398529999999992,38,4.040210526315788,0.6621052631578946,0.7474447368421053,0.7310447368421051,0.5544736842105265,0.6737671052631579,2.6750418105263156,3.0198390105263155,2.9535691578947367,2.2401938736842104,2.7221609631578945,0.24390296912507006
stampfly_udp_20260629T145526.jsonl,0,1,9.127538,10.287516,9.707526999999999,4.465016,5.242510999999999,1.1599780000000006,59,4.034305084745763,0.6739745762711865,0.7302542372881357,0.747120338983051,0.5284322033898304,0.6699453389830509,2.7190149694915258,2.9460664813559325,3.0140957016949153,2.131871322033898,2.702762118644068,0.3254075484760737
stampfly_udp_20260629T145526.jsonl,0,2,12.587525,13.107516,12.8475205,4.465016,8.3825045,0.519991000000001,27,4.024,0.6444962962962962,0.7534962962962962,0.722359259259259,0.5558407407407407,0.669048148148148,2.593453096296296,3.0320690962962966,2.906773659259259,2.2367031407407407,2.6922497481481487,0.35159633998517636
stampfly_udp_20260629T145526.jsonl,0,3,17.427516,18.73004,18.078778,4.465016,13.613762,1.3025239999999982,66,4.00630303030303,0.6586909090909091,0.7447181818181817,0.7204484848484848,0.5682939393939395,0.6730378787878788,2.638941915151515,2.9835278545454544,2.8863458666666664,2.2767344727272727,2.696387527272727,0.2817752609650294
